品类,产品名称,品牌,规格型号,单位,面价（元）,批发价（元）,批发条件,核心参数,适用场景,搭配推荐,常见问题,状态
粘接材料,结构胶,之江,300ml/支,支,28,22,≥100支,"拉伸粘结强度≥0.6MPa，位移能力±20%，固化时间24-48h，硅酮结构胶","小面积修补粘接、家装粘接",专用胶枪,300ml和590ml的性能一样吗？性能参数基本一致，300ml装更轻便，适合小面积施工和家装使用；大面积工程建议590ml更经济。,在售
粘接材料,结构胶,硅宝,300ml/支,支,25,20,≥100支,"拉伸粘结强度≥0.6MPa，位移能力±20%，固化时间24-48h","门窗安装、小型粘接工程",专用胶枪,结构胶和密封胶有什么区别？结构胶用于承重粘接，强度高；密封胶主要用于填缝防水，弹性好但强度较低。幕墙等场景必须用结构胶。,在售
防水材料,防水涂料（JS聚合物水泥基）,东方雨虹,20kg/桶,桶,280,220,≥20桶,"固含量≥65%，断裂延伸率≥200%，耐水性≥96h，拉伸强度≥1.2MPa，涂膜厚度1.5-2.0mm","屋面防水、卫生间防水、地下室防水","无纺布、密封胶",一桶能刷多少面积？要刷几遍？20kg约可涂刷10-12m²（两遍），每遍用量约0.5kg/m²。一般刷2-3遍，每遍间隔4-6小时。,在售
防水材料,防水涂料（JS聚合物水泥基）,东方雨虹,10kg/桶,桶,155,125,≥50桶,"固含量≥65%，断裂延伸率≥200%，耐水性≥96h，拉伸强度≥1.2MPa","卫生间防水、窗边防水、小面积修补","无纺布、密封胶",10kg的小桶够用多大面积？10kg约可涂刷5-6m²（两遍），一个普通卫生间约4-5m²地面+墙面翻高30cm，一桶基本够用。,在售
防水材料,防水涂料（K11）,科顺,20kg/桶,桶,260,200,≥20桶,"固含量≥70%，断裂延伸率≥150%，拉伸强度≥1.5MPa，耐碱性≥168h","屋面防水、外墙防水、地下室防水","无纺布、密封胶",K11和JS有什么区别？K11是双组份刚性防水涂料，强度高、耐水性好，适合地下室等长期浸水部位；JS柔性更好，适合温差变形较大的屋面。,在售
防水材料,防水涂料（柔性）,德高,20kg/桶,桶,300,240,≥20桶,"固含量≥70%，断裂延伸率≥300%，拉伸强度≥1.5MPa，耐水性≥168h","卫生间防水、厨房防水、阳台防水","无纺布、填缝料",德高防水涂料要加水吗？德高柔韧性K11需按粉:液=1:1混合搅拌，不额外加水；涂刷时如太稠可加少量清水调节。,在售
防水材料,防水涂料（刚性）,德高,10kg/桶,桶,165,130,≥50桶,"固含量≥70%，拉伸强度≥2.0MPa，抗渗压力≥1.5MPa","地面防潮、墙面防水底层","柔性防水涂料、无纺布",德高10kg桶的和20kg的性能一样吗？配方相同、性能一致，10kg装适合小面积或补漏使用。,在售
防水材料,防水涂料（JS）,科顺,10kg/桶,桶,145,115,≥50桶,"固含量≥65%，断裂延伸率≥200%，拉伸强度≥1.2MPa","小面积修补、窗边防水、管道根部防水","无纺布、密封胶",防水涂料兑水后还能用吗？JS防水涂料混合后应在2小时内用完，干结后不可加水再用，否则影响防水效果。,在售
防水材料,防水胶带（丁基橡胶）,德高,50mm×10m,卷,45,35,≥100卷,"拉伸强度≥8MPa，断裂伸长率≥400%，自粘型，使用温度-15~70℃，丁基橡胶基材","管道接口防水、搭接缝处理、窗边收口",防水涂料（配合使用）,防水胶带能直接贴在潮湿面上吗？丁基橡胶胶带需贴在干燥、洁净的表面效果最好，潮湿面粘接力会下降50%以上，务必擦干后施工。,在售
防水材料,防水胶带（丁基橡胶）,德高,100mm×5m,卷,55,42,≥100卷,"拉伸强度≥8MPa，断裂伸长率≥400%，自粘型，使用温度-15~70℃","大面积接缝处理、屋面搭接","防水涂料、密封胶",宽度100mm比50mm的粘性更强吗？粘性相同，100mm宽搭接面积更大、密封更可靠，适合大面积接缝；50mm适合管根、阴阳角等窄缝。,在售
防水材料,防水胶带（铝箔丁基）,东方雨虹,50mm×5m,卷,40,32,≥100卷,"拉伸强度≥6MPa，断裂伸长率≥300%，自粘型，带铝箔面，耐候性好","屋面搭接缝、彩钢板搭接、天窗收口",密封胶,铝箔面朝哪边？铝箔面朝外（朝天），丁基胶面贴合基层，铝箔起防护和反射作用。,在售
防水材料,防水胶带（PVC）,东方雨虹,100mm×10m,卷,65,50,≥50卷,"拉伸强度≥10MPa，断裂伸长率≥250%，PVC基材，耐老化","管道防腐包覆、大面积防水补强","防腐底漆、密封胶",PVC胶带和丁基胶带怎么选？丁基胶带自粘性好、适合搭接密封；PVC胶带强度高、耐老化，适合管道防腐和长期外露场景。,在售
砂浆,抹面砂浆,美巢,25kg/袋,袋,35,28,≥100袋,"拉伸粘结强度≥0.6MPa（原强度），可操作时间≥1.5h，加水量约5-6L/袋","保温板表面抹面、外墙抹灰找平","网格布、保温板",抹面砂浆和粘结砂浆有什么区别？粘结砂浆用于保温板与基层的粘贴，强度要求高；抹面砂浆用于保温板表面覆盖网格布，柔韧性要求高、抗裂性好。,在售
砂浆,抹面砂浆,德高,25kg/袋,袋,40,32,≥100袋,"拉伸粘结强度≥0.7MPa（原强度），可操作时间≥2h，加水量约5-6L/袋","外保温系统抹面、瓷砖翻新基层处理","耐碱网格布、锚固件",抹面砂浆一袋能抹多少面积？25kg抹面砂浆约可抹3-5m²（厚度3-5mm），具体取决于抹面厚度和基层平整度。,在售
砂浆,粘结砂浆,美巢,25kg/袋,袋,32,25,≥100袋,"拉伸粘结强度≥0.6MPa，晾置时间≥20min，加水量约5-6L/袋","保温板粘贴、瓷砖粘贴","保温板、锚固件",粘结砂浆一袋能贴多少平方？25kg粘结砂浆约可粘贴4-6m²保温板（粘贴面积率≥40%），满粘约3-4m²。,在售
砂浆,粘结砂浆,立邦,25kg/袋,袋,30,24,≥100袋,"拉伸粘结强度≥0.6MPa，晾置时间≥20min，加水量约5-6L/袋","保温板粘贴、轻质砖砌块粘贴","保温板、抹面砂浆",粘结砂浆冬天能用吗？5℃以下砂浆水化反应变慢，强度增长受阻，建议加防冻剂或使用冬季专用配方，0℃以下禁止施工。,在售
砂浆,抹面砂浆,立邦,50kg/袋,袋,65,52,≥50袋,"拉伸粘结强度≥0.6MPa（原强度），可操作时间≥1.5h，加水量约10-12L/袋","大面积外墙抹面、工业厂房墙面找平","网格布、锚固件",50kg大袋和25kg小袋质量一样吗？配方完全一致，50kg装单价更低但搬运较重，大面积工程推荐大袋更经济。,在售
砂浆,粘结砂浆,德高,50kg/袋,袋,60,48,≥50袋,"拉伸粘结强度≥0.7MPa，晾置时间≥20min，加水量约10-12L/袋","大面积保温系统施工、工程批量使用","保温板、锚固件、抹面砂浆",粘结砂浆和瓷砖胶一样吗？不完全一样。粘结砂浆专指保温系统用粘结料，瓷砖胶有专用型号（如德高瓷砖胶），两者配方和强度等级不同，不可混用。,在售
修补材料,冷补料（沥青冷拌料）,路虹,25kg/袋,袋,35,28,≥50袋,"马歇尔稳定度≥5kN，可常温施工，即铺即用，储存期6个月","路面坑洞修补、井盖周围修补、停车场修补",乳化沥青（底涂）,冷补料修补后多久能通车？压实后即可开放交通，车辆碾压有助于进一步压实。完全固化需7-14天。,在售
修补材料,冷补料（沥青冷拌料）,路虹,50kg/袋,袋,62,50,≥30袋,"马歇尔稳定度≥5kN，可常温施工，储存期6个月","大面积路面修补、市政道路维修","乳化沥青（底涂）、压路机",50kg的袋子修补大概多少面积？50kg冷补料修补厚度3cm约可修补0.5-0.6m²，修补厚度5cm约0.35m²。,在售
修补材料,冷补料（乳化沥青型）,东方雨虹,25kg/袋,袋,40,32,≥50袋,"马歇尔稳定度≥5kN，可常温施工，乳化沥青基料，粘结性好","道路裂缝修补、小区路面修补",底涂乳化沥青,冷补料下雨天能用吗？可小雨施工但效果略差，暴雨天气不建议施工。最佳施工条件是干燥天气，基层无积水。,在售
修补材料,冷补料（环氧型）,德高,25kg/袋,袋,55,45,≥30袋,"抗压强度≥40MPa，可常温施工，2h初固，24h完全固化","混凝土路面修补、厂房地坪修补","界面剂、搅拌工具",环氧冷补料和沥青冷补料怎么选？沥青冷补料适用于沥青路面修补，成本低；环氧冷补料强度更高，适用于混凝土路面和高要求地坪。,在售
