"品类","产品名称","品牌","规格型号","单位","面价（元）","批发价（元）","批发条件","核心参数","适用场景","搭配推荐","常见问题","状态"
"保温材料","真金板（改性EPS）","金盾","50mm","m²","48","38","≥800m²","改性聚苯板，兼顾保温和阻燃；导热系数0.039W/(m·K)级；适合薄抹灰系统","外墙外保温、旧改节能、公共建筑外墙","粘结砂浆、抹面砂浆、耐碱网格布","真金板是不是岩棉？不是，它属于改性聚苯类保温板，重量更轻但防火机理不同。","在售"
"保温材料","酚醛保温板","华能","50mm","m²","76","62","≥500m²","热固性泡沫材料；导热系数0.030W/(m·K)级；阻燃性能较好但板材脆性较高","风管保温、屋面保温、外墙复合保温","专用粘结砂浆、界面剂、保护面层","酚醛板施工要注意什么？板材相对脆，搬运和切割要避免掉角，外墙应用需完整系统配套。","在售"
"保温材料","发泡陶瓷保温板","鲁阳","60mm","m²","96","78","≥500m²","无机保温材料；A级不燃；尺寸稳定性好；导热系数高于有机保温板但耐久和防火好","公共建筑外墙、消防要求高的保温工程","无机粘结砂浆、抹面砂浆、锚栓","发泡陶瓷适合高层外墙吗？防火和耐久性好，适合防火要求高的项目，但需核算保温厚度。","在售"
"保温材料","泡沫玻璃保温板","鲁阳","50mm","m²","118","96","≥300m²","闭孔无机材料；A级不燃；吸水率低；抗压和耐腐蚀性好；价格较高","地下室外墙、屋面保温、防潮保温、化工设备保温","专用粘结剂、防水层、保护层","泡沫玻璃为什么贵？它是无机闭孔材料，防火、防潮、耐久性好，适合高要求节点。","在售"
"保温材料","玻璃棉卷毡","鲁阳","50mm/24kg/m³","m²","22","17","≥1000m²","纤维类保温吸声材料；导热系数0.040W/(m·K)级；吸声性能好；需防潮包覆","钢结构屋面、风管保温、隔墙吸声","铝箔贴面、保温钉、胶带","玻璃棉能做外墙外保温吗？一般不作为薄抹灰外墙主材，更常用于屋面、风管和吸声隔墙。","在售"
"保温材料","硅酸铝针刺毯","鲁阳","30mm/128kg/m³","m²","58","46","≥300m²","耐高温纤维毯；使用温度等级可达数百至上千摄氏度（按型号）；不适合普通外墙湿作业","工业炉、管道高温保温、设备隔热","耐高温胶泥、金属扎带、保护壳","硅酸铝和岩棉有什么区别？硅酸铝偏高温工业隔热，岩棉偏建筑防火保温。","在售"
"保温材料","无机保温砂浆","华能","25kg/袋","袋","32","25","≥200袋","玻化微珠/无机胶凝体系；A级不燃；现场抹灰成型；保温性能弱于板材但节点适应性强","梁柱热桥处理、门窗洞口、异形基层找补","界面剂、抗裂砂浆、网格布","无机保温砂浆能代替保温板吗？大面积节能通常不建议完全代替，适合热桥和复杂节点找补。","在售"
"保温材料","橡塑板（B1级空调风管）","鲁阳","20mm","m²","36","28","≥500m²","闭孔弹性材料；导热系数0.034W/(m·K)级；B1级阻燃；柔韧易包覆","中央空调风管、冷冻水管、设备保温","橡塑胶水、铝箔胶带、保温钉","橡塑板会结露吗？厚度选型不足或接缝未密封会结露，冷冻水系统需重视防潮层连续性。","在售"
"保温材料","橡塑管（冷冻水管）","鲁阳","DN50×25mm","根","28","22","≥200根","闭孔结构；管壳长度2m/根；适用于冷热水管保温；接缝需满涂胶水","空调冷冻水管、热水管、冷凝水管","橡塑胶水、铝箔胶带、管托","橡塑管厚度怎么选？冷冻水管通常按管径、介质温度和环境湿度核算，潮湿区域要加厚。","在售"
"保温材料","岩棉带（外墙薄抹灰系统）","泰石岩","100mm/TR80","m²","72","58","≥500m²","A级不燃；纤维垂直于墙面，抗拉强度高；导热系数≤0.046W/(m·K)；适合防火要求高的系统","高层外墙外保温、防火隔离带、公共建筑","粘结砂浆、抹面砂浆、锚栓、网格布","岩棉带和岩棉板区别是什么？岩棉带纤维方向不同，垂直抗拉更好，常用于更高要求外墙系统。","在售"
"防水材料","SBS改性沥青防水卷材（聚酯胎）","雨中情","3mm/10m²","卷","168","135","≥50卷","热熔施工；耐高低温、延伸率好；适合基层变形较大的防水部位","屋面、地下室、车库顶板、隧道、市政防水","基层处理剂、喷灯、密封膏","SBS卷材适合冬天施工吗？相对普通沥青卷材低温性能更好，但基层仍需干燥、热熔搭接可靠。","在售"
"防水材料","SBS改性沥青防水卷材（耐根穿刺）","雨中情","4mm/10m²","卷","260","210","≥30卷","聚酯胎增强；可用于种植屋面耐根穿刺系统；需配套保护层和排水层","种植屋面、地下车库顶板、屋顶花园","基层处理剂、保护板、排水板、土工布","种植屋面必须用耐根穿刺卷材吗？建议使用耐根穿刺体系，否则植物根系可能破坏防水层。","在售"
"防水材料","APP改性沥青防水卷材","雨中情","4mm/10m²","卷","210","168","≥30卷","塑性体改性沥青卷材；耐热性能较好；适合高温暴晒区域；热熔施工","南方屋面、工业厂房屋面、地下工程","基层处理剂、喷灯、密封膏","APP和SBS怎么选？APP更偏耐热，SBS低温柔性和弹性更突出。","在售"
"防水材料","自粘聚合物改性沥青防水卷材","雨中情","1.5mm/20m²","卷","220","176","≥30卷","自粘施工；不需明火；适合节点和受限空间；对基层平整度和含水率要求高","地下室侧墙、屋面附加层、节点加强、室内防水","基层处理剂、压辊、密封膏","自粘卷材能在潮湿基层上贴吗？不建议，基层潮湿会影响粘结，应先干燥或使用适配湿铺材料。","在售"
"防水材料","湿铺防水卷材","雨中情","1.5mm/20m²","卷","198","158","≥30卷","水泥浆/聚合物水泥浆粘结；可在潮湿但无明水基层施工；适合赶工项目","地下室底板、侧墙、屋面湿铺防水","水泥浆、压辊、密封膏","湿铺卷材和自粘卷材区别是什么？湿铺靠水泥浆粘结，更适合潮湿基层；自粘对干燥平整要求更高。","在售"
"防水材料","TPO防水卷材","圣戈班","1.5mm/20m²","卷","520","420","≥20卷","热风焊接；低温弯折可达-40℃无裂纹等级；耐候性好","单层屋面、钢结构屋面、种植屋面系统","热风焊机、固定件、收口压条","TPO卷材为什么常用于屋面？它耐候、反射率高、热风焊接可靠，适合外露单层屋面系统。","在售"
"防水材料","PVC防水卷材","飞鹿","1.5mm/20m²","卷","430","345","≥20卷","热风焊接；拉伸强度和断裂伸长率稳定；可外露使用","屋面、地下工程、隧道、粮库屋面","热风焊机、固定件、PVC密封膏","PVC和TPO卷材怎么选？PVC成熟经济、焊接方便；TPO耐候和环保属性更突出。","在售"
"防水材料","HDPE预铺反粘防水卷材","雨中情","1.2mm/20m²","卷","560","448","≥20卷","高分子片材+反粘层；与后浇混凝土形成粘结；适合底板预铺反粘","地下室底板、地铁、综合管廊、地下结构外防水","搭接胶带、节点密封带、保护层","预铺反粘卷材和普通卷材区别？预铺反粘先铺卷材后浇混凝土，重点解决底板窜水风险。","在售"
"防水材料","EPDM三元乙丙防水卷材","华能","1.2mm/20m²","卷","480","385","≥20卷","合成橡胶卷材；耐老化、耐臭氧、延伸率高；搭接需专用胶粘或胶带体系","屋面、蓄水池、异形节点、长期外露防水","专用基层胶、搭接胶带、收口压条","EPDM卷材适合复杂节点吗？柔韧性好，适合异形节点，但搭接胶粘工艺要严格。","在售"
"防水材料","JS聚合物水泥防水涂料（Ⅰ型柔韧）","东方雨虹","20kg/桶","桶","168","132","≥50桶","双组分聚合物水泥体系；柔韧性好；适合变形较小的室内和节点防水；不透水性可满足常见室内防水要求","卫生间、厨房、阳台、管根节点、墙地面防水","无纺布、堵漏王、密封膏","卫生间防水用JS可以吗？可以，墙地面常用，阴阳角和管根建议加无纺布增强。","在售"
"防水材料","JS聚合物水泥防水涂料（Ⅱ型通用）","东方雨虹","20kg/桶","桶","148","118","≥50桶","粘结强度和平衡性能更适合基层粘结；可用于潮湿基层；施工通常2-3遍","卫生间、地下室内墙、阳台、轻型屋面","无纺布、堵漏王、界面剂","JS防水涂料要刷几遍？通常2-3遍，厚度和遍数按设计要求，不能一次厚涂。","在售"
"防水材料","聚氨酯防水涂料（单组分）","东方雨虹","20kg/桶","桶","260","208","≥30桶","反应固化型涂膜；弹性好；对基层含水率敏感；施工气味和固化时间需控制","屋面、地下室、厨卫、非外露防水","基层处理剂、无纺布、保护层","聚氨酯防水涂料能刷在潮湿基层吗？一般不建议，基层含水率高会起泡，应先干燥处理。","在售"
"防水材料","聚氨酯防水涂料（双组分）","东方雨虹","30kg/组","组","360","288","≥20组","双组分反应固化；强度和弹性较好；需按比例搅拌；适合较高要求防水层","地下室、屋面、车库顶板、设备基础防水","基层处理剂、搅拌器、保护砂浆","双组分聚氨酯施工难点是什么？配比和搅拌必须准确，混合后要在可操作时间内用完。","在售"
"防水材料","K11通用型防水浆料","德高","18kg/桶","桶","138","110","≥50桶","聚合物水泥基刚柔结合；粘结力好；适合室内潮湿区域；可贴砖","卫生间、厨房、阳台、墙面防潮","堵漏王、瓷砖胶、阴角圆弧砂浆","K11和JS有什么区别？K11更偏水泥基浆料和贴砖基层，JS柔韧型抗变形更好。","在售"
"防水材料","K11柔韧型防水浆料","德高","18kg/桶","桶","168","135","≥50桶","柔韧性优于通用型；适合轻微变形基层；施工后可做饰面层","卫生间、阳台、轻质墙体、管根节点","无纺布、瓷砖胶、密封胶","轻质墙体防水用哪种？建议柔韧型K11或JS柔韧型，并做好节点增强。","在售"
"防水材料","丙烯酸防水涂料","华能","20kg/桶","桶","180","145","≥30桶","水性涂料；施工方便；耐紫外性较好；不适合长期泡水部位","彩钢瓦屋面、外墙局部防水、旧屋面维修","聚酯布、基层处理剂、面漆","丙烯酸防水能用地下室吗？不建议长期背水或泡水环境，地下室优先用更适配体系。","在售"
"防水材料","水泥基渗透结晶防水涂料","东方雨虹","25kg/袋","袋","96","76","≥100袋","以水泥和活性化学物质为主；用于混凝土结构防水；具有渗透结晶和一定自修复特性；适合刚性基层","地下室混凝土、水池、电梯井、隧道背水面","堵漏王、修补砂浆、养护材料","渗透结晶能刷砖墙吗？主要适用于混凝土结构，砖墙或砂浆基层效果需谨慎评估。","在售"
"防水材料","堵漏王（速凝型）","德高","5kg/袋","袋","28","22","≥100袋","快凝快硬；用于渗漏点封堵；凝结时间短，需少量多次拌料","管根渗水、孔洞堵漏、地下室局部明水封堵","水泥基防水涂料、修补砂浆","堵漏王能当大面积防水层吗？不能，主要用于点状堵漏和基层修补，后续仍需做完整防水层。","在售"
"防水材料","非固化橡胶沥青防水涂料","雨中情","20kg/桶","桶","220","176","≥30桶","长期保持蠕变性；与卷材复合可形成复合防水层；需加热或专用设备施工","地下室、屋面、复杂节点、卷材复合防水","改性沥青卷材、加热设备、刮板","非固化涂料为什么要配卷材？非固化负责满粘密封和蠕变修复，卷材提供强度和保护。","在售"
"防水材料","喷涂速凝橡胶沥青防水涂料","雨中情","50kg/桶","桶","620","500","≥10桶","机械喷涂成膜快；弹性好；适合大面积异形基层；需专用喷涂设备","地下室侧墙、隧道、管廊、异形结构防水","喷涂设备、增强布、保护层","喷涂速凝适合小卫生间吗？不适合，设备化施工更适合大面积工程。","在售"
"砂浆","聚合物粘结砂浆","华能","25kg/袋","袋","32","25","≥200袋","用于保温板粘贴；拉伸粘结强度需满足系统要求；可操作时间约1-2小时","XPS/EPS/岩棉等保温板粘贴","保温板、锚栓、界面剂","粘结砂浆能不能当抹面砂浆？不建议，两者配方和抗裂要求不同。","在售"
"砂浆","聚合物抹面砂浆","华能","25kg/袋","袋","36","28","≥200袋","用于保温系统表面抗裂防护；需配合耐碱网格布；抗裂和柔韧性优于普通砂浆","外墙外保温薄抹灰系统、保温板面层","耐碱网格布、锚栓、饰面砂浆","抹面砂浆必须加网格布吗？外墙保温系统通常必须配合耐碱网格布形成抗裂层。","在售"
"砂浆","抗裂砂浆","华能","25kg/袋","袋","34","27","≥200袋","聚合物改性抗裂砂浆；适合保温层表面和墙面找平抗裂；不能替代结构修补材料","无机保温砂浆面层、旧墙翻新、保温抗裂层","网格布、界面剂、腻子","抗裂砂浆能直接贴砖吗？通常需看系统做法，贴砖应使用瓷砖胶或专用粘结材料。","在售"
"砂浆","瓷砖胶（C1普通型）","德高","20kg/袋","袋","48","38","≥100袋","水泥基瓷砖粘结剂；适合普通吸水率瓷砖；基层需牢固平整","室内墙地砖、厨房卫生间瓷砖铺贴","背胶、填缝剂、防水涂料","瓷砖胶能不能加水泥？不建议，会破坏配方比例和粘结性能。","在售"
"砂浆","瓷砖胶（C2增强型）","德高","20kg/袋","袋","68","54","≥100袋","增强粘结型；适合低吸水率砖和较大规格瓷砖；开放时间和滑移性能更好","大砖铺贴、低吸水率瓷砖、旧砖翻新","瓷砖背胶、找平砂浆、填缝剂","大砖上墙用普通瓷砖胶可以吗？不建议，建议用C2增强型并配合背胶和机械支撑。","在售"
"砂浆","界面剂","德高","18kg/桶","桶","120","96","≥50桶","提高基层附着力；适合光滑混凝土、旧墙面、吸水不均基层；不能替代防水层","墙面拉毛、旧墙翻新、保温基层处理","粘结砂浆、瓷砖胶、腻子","界面剂是不是防水？不是，主要提高粘结和封闭基层，防水需用专门防水材料。","在售"
"粘接材料","硅酮耐候密封胶","白云","590ml/支","支","32","25","≥100支","中性固化；耐候性好；适合外墙接缝；不能用于结构受力粘结","幕墙接缝、门窗框、外墙伸缩缝","泡沫棒、美纹纸、清洁剂","耐候胶和结构胶区别？耐候胶用于密封防水，结构胶用于受力粘结，不能混用。","在售"
"粘接材料","硅酮结构胶","白云","590ml/支","支","48","38","≥100支","中性固化；用于幕墙结构粘结；需做相容性和粘结性测试；固化受温湿度影响","幕墙玻璃/铝板结构粘结、石材干挂辅助粘结","底涂、清洁剂、胶枪","结构胶能不能马上承重？不能，需达到固化强度后才能受力，现场应按胶厂技术要求养护。","在售"
"粘接材料","MS改性硅烷密封胶","白云","600ml/支","支","42","34","≥100支","无硅油污染风险低；可涂刷；环保低气味；粘结范围广","装配式建筑接缝、门窗、金属板接缝","泡沫棒、底涂、清洁剂","MS胶和硅酮胶怎么选？MS胶可涂刷、污染风险低；硅酮耐候成熟，幕墙场景更常见。","在售"
"辅材","耐碱玻纤网格布","华能","160g/㎡×100m","卷","150","120","≥50卷","外墙保温抗裂层增强材料；耐碱处理；常见克重160g/㎡；搭接宽度按系统要求","外墙外保温、抹面砂浆增强、门窗洞口加强","抹面砂浆、保温板、锚栓","网格布可以省吗？不能，保温薄抹灰系统缺少网格布容易开裂。","在售"
"辅材","保温锚栓","华能","8×120mm","个","0.38","0.28","≥5000个","塑料膨胀套+钉芯；长度按保温厚度和基层锚固深度选择；抗拉承载力需现场拉拔验证","外墙保温板固定、岩棉板/XPS板锚固","电锤、锚盘、抹面砂浆","100mm保温板用多长锚栓？需按保温厚度、粘结层、找平层和有效锚固深度综合确定。","在售"
"辅材","铝箔胶带","华能","50mm×30m","卷","18","14","≥200卷","铝箔面层胶带；用于保温接缝密封和防潮层连续；耐温和粘结力按型号不同","橡塑板接缝、玻璃棉铝箔面层、风管保温","橡塑胶水、保温钉、压敏胶带","铝箔胶带能代替防水卷材吗？不能，只适合保温接缝和防潮层辅助密封。","在售"
"辅材","丁基防水密封胶带","华能","100mm×10m","卷","58","46","≥100卷","自粘丁基橡胶；初粘强；适合节点密封；基层需清洁干燥","彩钢瓦搭接、窗边收口、管根节点、卷材收头","压辊、基层清洁剂、密封胶","丁基胶带能贴湿基层吗？不建议，潮湿和灰尘会明显降低粘结。","在售"
"防水材料","屋面反射隔热防水涂料","华能","20kg/桶","桶","220","176","≥30桶","白色反射型涂层；兼具反射隔热和表面防护；适合旧屋面维护；需基层防水完整","彩钢瓦屋面、旧屋面翻新、厂房屋面降温","基层处理剂、聚酯布、密封胶","反射隔热涂料能解决漏水吗？轻微裂缝可辅助处理，严重漏水需先修复防水层。","在售"
"防水材料","屋面维修防水套装","华能","20kg涂料+20m聚酯布","套","260","208","≥20套","涂料加增强布组合；适合小面积维修；节点需先嵌缝密封","屋面裂缝、女儿墙根部、管根维修","密封膏、基层处理剂、刮板","屋面局部漏水能只刷涂料吗？裂缝和节点建议加聚酯布增强，单刷涂料耐久性有限。","在售"
